index,question,species,area,correct_answer,with_mcp_answer,with_mcp_choice,with_mcp_evaluation,with_mcp_correct,no_mcp_answer,no_mcp_choice,no_mcp_evaluation,no_mcp_correct,status,error,elapsed_time
0,What is in an RNA polymerase I holoenzyme?,non-specific,GENE REGULATION - TRANSCRIPTION,2,"

**正确答案：2**

RNA Pol I holoenzyme 是 RNA Pol I 核心复合物与一般转录因子（GTFs，如 TIF-IA、TIF-IB/SL1、UBF）预先组装形成的较大复合物，能够特异性启动 rDNA 转录（initiation），而非延伸（elongation）。选项 2 最准确匹配文献定义（如 PMID 9451438：""Pol I holoenzyme"" 为 initiation-competent 形式，与 basal factors 关联；PMID 9342329：植物中 holoenzyme accurately initiates rRNA transcription）。选项 0 错指延伸，选项 1 描述核心酶。",2,模型输出的选项与正确选项一致，评估为正确。,True,"**2**

RNA Pol I holoenzyme refers to the core RNA polymerase I enzyme **associated with general transcription factors (GTFs, e.g., SL1/TAFIs, UBF, RRN3)**, forming a larger pre-initiation complex **capable of specifically initiating rDNA transcription** at the rRNA gene promoter. This matches option 2 precisely, as confirmed by eukaryotic Pol I transcription biochemistry (e.g., core Pol I alone lacks promoter-specific initiation competence without GTFs; holoenzyme enables PIC assembly and initiation, not just elongation). Options 0 and 1 are incorrect: 0 confuses it with elongation (holoenzyme is for initiation), and 1 misdefines it as just the core.",2,模型输出的选项与正确选项一致，回答正确。,True,success,,75.85
1,Can the activity of RNA polymerase I complex be regulated by casein kinase 2 (CK2)?,non-specific,GENE REGULATION - TRANSCRIPTION,0,"




**1**

作为植物生物学家，关键证据来自PMID 11587515（Saez-Vasquez et al., 2001, Plant Mol Biol）：在西兰花（Brassica oleracea，一种植物）中，CK2-like蛋白（CASEIN KINASE2）与RNA Pol I全酶复合物共纯化，并作为蛋白-DNA复合物的一部分存在于rDNA启动子上。该论文确认其激酶活性磷酸化全酶蛋白，支持其正向调控rDNA转录的角色，与选项1匹配（交互+磷酸化+增加转录）。选项0缺少“-like”和植物特异性表述；选项2错误（磷酸化减少转录，与CK2激活转录不符）。无证据支持去磷酸化或负调控。",1,模型回答选择了选项1，但正确选项为0，因此评估为错误。模型基于植物特异性研究（PMID 11587515）推断CK2-like蛋白与RNA Pol I交互并增加转录，但问题未指定上下文，正确选项0可能表示一般性或不同系统中的否定答案。,False,"**正确选项：0**

**解释**：作为植物生物学家，RNA聚合酶I（Pol I）负责rDNA转录合成rRNA，其活性确实可由酪蛋白激酶2（CK2）调控。CK2直接与RNA Pol I全酶复合物（holoenzyme）相互作用，并磷酸化转录因子（如TAF I110或UBF），从而**增强**rDNA转录。这在酵母、人类及植物系统中均有报道（如CK2磷酸化SL1复合物促进启动子结合）。选项1错误（CK2是激酶，非磷酸酶；desphosphorylate错）；选项2错误（调控效应为增加而非减少）。文献支持：如J Biol Chem (2001)报道CK2磷酸化提升Pol I转录。",0,模型输出与正确选项一致，均为0，表明模型正确识别了RNA聚合酶I活性可由CK2调控。,True,success,,207.33
2,Where does RNA polymerase I transcriptional activity take place?,non-specific,GENE REGULATION - TRANSCRIPTION,1,"

**正确答案：1**

RNA Pol I 转录发生在核仁（nucleolus）中，具体在致密纤维成分（dense fibrillary component, DFC）。这是核仁rRNA转录的经典位置，由多篇文献确认，包括PMID 10817672（DFC为pre-rRNA转录位点）和PMID 11913961（植物细胞中DFC/FC边界为转录活性区，Pol I因子与DFC相关）。选项0拼写错误（""centres""），选项2位置错误（nucleoplasm）。",1,模型输出的选项与正确选项一致，RNA聚合酶I的转录活性发生在核仁中，具体在致密纤维成分。,True,"**正确选项：1**

RNA polymerase I (Pol I) 转录 rRNA，主要发生在核仁（nucleolus）的致密纤维成分（dense fibrillary component, DFC），这是核仁中转录起始的特定区域。选项0拼写错误（centres），选项2错误地将位置置于核质（nucleoplasm）而非核仁，因此1最准确。",1,模型输出的选项与正确选项一致，均为1，因此评估为正确。,True,success,,51.23
3,Can plant microRNA (miRNA) precursors be shortened to express artificial microRNAs (amiRNAs) from viral vectors?,non-specific,PLANT BIOTECHNOLOGY,0,"

**0**

作为植物生物学家，基于最近文献证据（如PMID 37713607和41307747），植物miRNA前体确实可缩短为最小前体（例如89 nt的嵌合前体），用于病毒载体（如RNA病毒或TRV）表达amiRNA。这些最小前体保留了DCL1酶识别和准确加工所需的必要结构特征（如茎环结构），产生高效、真实的amiRNA，实现全株基因沉默，而全长前体在病毒中反而无效。这直接匹配选项0，而非1（错误否定时）或2（矛盾自相抵触）。",0,模型输出的选项与正确选项一致，均为0，表明模型正确理解了植物miRNA前体可缩短用于病毒载体表达amiRNA。,True,"**0**

作为植物生物学家，我确认植物miRNA前体（如基于Arabidopsis ath-miR319a的短化版本）可以缩短至约71核苷酸，形成最小前体。这些最小前体保留了茎环结构和miRNA:miRNA*不对称凸出等关键特征，支持DICER-LIKE1 (DCL1)精确加工成成熟amiRNA，并在病毒载体（如Tobacco rattle virus, TRV）中高效表达，用于基因沉默（如VIGS）。实验证据（如Carbonell et al., 2014, Plant Physiology）证实这种短化amiRNA设计在病毒载体中功能正常，且因尺寸小更适于病毒基因组容量限制。选项0精确匹配此事实。",0,模型输出选项与正确选项一致，回答正确。,True,success,,74.69
4,Can TAS1c-based synthetic trans acting small interfering RNAs (syn-tasiRNAs) move throughout Nicotiana benthamiana and induce the systemic silencing of the SULPHUR gene?,non-specific,PLANT BIOTECHNOLOGY,1,"



**正确答案：1**

TAS1c-based syn-tasiRNAs（synthetic trans-acting siRNAs）能全身移动并诱导Nicotiana benthamiana中SULPHUR基因（NbSu）的系统性沉默。根据PMID 35277899的研究，这些21-nt syn-tasiRNA双链体通过韧皮部移动至顶端组织，在那里被整合进ARGONAUTE1蛋白以降解SULPHUR mRNA。关键证据：论文明确指出“syn-tasiRNAs are able to induce systemic silencing of NbSu”和“21-nucleotide amiRNA and syn-tasiRNA duplexes... moving... through the phloem to systemically silence NbSu”，而非其前体TAS1c移动（排除选项2）。选项0错误，因为它们确实能进入韧皮部进行长距离移动。",1,模型输出的选项与正确选项一致，基于PMID 35277899的研究支持TAS1c-based syn-tasiRNAs能全身移动并诱导系统性沉默。,True,"**正确选项：1**

作为植物生物学家，我选择选项1，因为TAS1c-based syn-tasiRNAs作为成熟的siRNA双链体（duplexes）通过韧皮部（phloem）长距离移动，并在远端组织（如顶端组织）被ARGONAUTE1（AGO1）蛋白加载，诱导SULPHUR基因的系统性沉默。这与已知植物RNA干扰机制一致：TAS1c前体在局部加工成syn-tasiRNAs duplexes，这些duplexes而非前体本身负责系统移动（排除选项2）。选项0错误否认了其系统移动能力。实验证据（如Nicotiana benthamiana中的异系接种实验）证实了这一机制。",1,模型输出的选项与正确选项一致，评估为正确。,True,success,,94.04
5,Under which molecular form do artificial microRNAs (amiRNAs) and synthetic trans acting small interfering RNAs (syn-tasiRNAs) move throughout Nicotiana benthamiana to induce systemic silencing of endogenous genes?,Nicotiana benthamiana,PLANT BIOTECHNOLOGY,2,"

**正确答案：2**

根据关键文献（PMID: 35277899，《The Plant Journal》2022），amiRNAs 和 syn-tasiRNAs 在 *Nicotiana benthamiana* 中以 21-核苷酸小 RNA 双链体（duplexes）形式通过韧皮部移动诱导系统性沉默，这些双链体在远端组织加载到 ARGONAUTE 1（AGO1）以实现靶向沉默，而非前体（precursors）或已加载的复合物。该文明确指出：“21-nucleotide amiRNA and syn-tasiRNA duplexes, and not their precursors, are the molecules moving...”，与选项 2 精确匹配。选项 0 错误指“AGO1-small RNA complexes”，选项 1 错误指“small RNA precursors”。实验特指 *N. benthamiana*。",2,模型输出的选项与正确选项一致，基于文献证据，amiRNAs和syn-tasiRNAs以21-核苷酸小RNA双链体形式移动诱导系统性沉默。,True,"**正确选项：0**

作为植物生物学家，我选择**0**，因为在Nicotiana benthamiana中，amiRNAs和syn-tasiRNAs通过**ARGONAUTE 1 (AGO1)-small RNA复合物**形式系统性移动。这种成熟复合物已加载小RNA，直接在远端组织诱导靶基因特异性沉默。研究（如Molnar et al., 2011, Cell）证实，系统性沉默信号以AGO1-amiRNA复合物形式运输，而非前体或双链体。",0,模型选择了选项0，但正确选项是2，因此评估为错误。模型解释基于AGO1复合物，但问题可能涉及其他分子形式或上下文。,False,success,,65.39
6,Does multi-targeting of viral RNAs with synthetic trans-acting small interfering RNAs (syn-tasiRNAs) enhance plant antiviral resistance?,non-specific,PLANT BIOTECHNOLOGY,0,"

**正确答案：0**

多靶点syn-tasiRNAs增强植物抗病毒性。从单前体表达多个syn-tasiRNAs可同时靶向病毒基因组多个区域，病毒需同时突变多位点才能逃逸，从而最小化逃逸突变体产生（如PMID 31350772研究所示，syn-tasiRNA株系耐TSWV，而amiRNA易突变逃逸）。选项1错误（无竞争证据），选项2错误（“maximizing”应为“minimizing”）。",0,模型输出的选项与正确选项一致，均为0，因此评估为正确。,True,"**0**

作为植物生物学家，多靶点syn-tasiRNAs通过单一前体产生多个siRNA，同时靶向病毒基因组多处或多病毒基因组，病毒需同时突变多位点才能逃逸，从而显著增强抗病毒性。这是RNAi工程在植物病毒抵抗中的标准策略，已有实验验证（如针对TMV或TYLCV的多靶点siRNA构建）。选项1的竞争假设不符实际（前体加工高效），选项2逻辑矛盾（多靶点应**最小化**而非最大化逃逸）。",0,模型输出的选项与正确选项一致，均为0，且解释合理支持多靶点syn-tasiRNAs增强抗病毒性。,True,success,,69.69
7,Do you find rna polymerase ii transcription start sites only in annotated gene promoter regions?,non-specific,GENE REGULATION - TRANSCRIPTION,2,"



**2**

作为植物生物学家，我确认选项2正确。RNA聚合酶II（Pol II）不仅在基因启动子启动转录，还可在无注释启动子的额外区域启动，如基因间区（intergenic regions，通过TSS测序如CAGE或plaNET-seq检测到）。此外，转录可在已注释基因内正义链（sense）和反义链（antisense）启动，例如拟南芥中广泛存在的反义转录（antisense lncRNAs，如BBX28/ZAT5的PAS基因，或bidirectional promoters驱动的COOLAIR at FLC），这些由ChIP-seq和nascent RNA-seq证实，支持应激响应和发育调控（参考PMID: 38801743, 28513325, 41047633, 28032247）。选项0部分正确但不全面，选项1错误。",2,模型输出的选项与正确选项一致，均为2，因此评估为正确。,True,"**2**

RNA polymerase II transcription start sites (TSSs) are not limited to annotated gene promoter regions. While primary TSSs occur at promoters upstream of annotated genes, additional TSSs are detected in intergenic regions (e.g., via CAGE or PRO-seq data), as well as within genes on both sense and antisense strands (divergent and pervasive transcription). This is well-documented in eukaryotic genomes like human and yeast, reflecting widespread transcription beyond strict annotation. Options 0 and 1 are incomplete or incorrect.",2,模型输出的选项与正确选项一致，回答正确。,True,success,,149.15
8,Are plant genes are only transcribed in one direction?,non-specific,GENE REGULATION - TRANSCRIPTION,2,"


**2: No, antisense transcription is common. It can either be antisense transcription initiating in the 3´-UTR, or initiation of antisense transcription intragenically.**

作为植物生物学家，基于文献证据（如PMID 38801743和41047633），植物中反义转录广泛存在（pervasive/common）。具体包括：(1) 从3'端聚A信号附近（3´-UTR）启动的反义转录（PAS基因，如拟南芥BBX28/ZAT5，用于冷应答调控）；(2) 基因内（intragenically）反义启动，如互补链5'端（CASt，长第一内含子基因，用于应激响应）。这直接匹配选项2，而排除0（错误）和1（不完整，仅限3´-UTR）。系统综述（PMID 36232906）确认植物cis-NATs普遍性，支持此结论。",2,模型输出的选项与正确选项一致，基于植物生物学文献证据（如PMID 38801743、41047633、36232906）确认反义转录在植物中广泛存在，包括3´-UTR和基因内启动，匹配选项2的描述。,True,"**2**

作为植物生物学家，我知道植物基因组中反义转录（antisense transcription）非常常见，不仅限于3'-UTR起始，还包括基因内（intragenic）起始。这在RNA-seq数据和NAT-siRNA研究中广泛证实，例如Arabidopsis中许多基因双向转录产生反义RNA，用于基因调控。选项0错误（非单向），选项1限制性太强（忽略intragenic），故2最准确。",2,模型输出的选项与正确选项一致，评估为正确。,True,success,,134.96
9,Are there methylation signatures of histone H3 tails that correlate positively with rna polymerase ii transcriptional activity?,non-specific,GENE REGULATION - POST-TRANSLATIONAL MODIFICATIONS,0,"

**0: Yes, in particular tri-methylation and di-methylation of histone 3 lysine 4, and histone 3 lysine 36.**

作为植物生物学家，H3K4me2/3（启动子区）和H3K36me2/3（基因体）是植物中公认的活跃转录标志，与RNA Pol II转录正相关（如拟南芥、蜀黍和泡桐中的ChIP-seq研究证实）。H3K27me3是抑制性标记（Polycomb介导），选项1错误；选项2忽略这些甲基化，仅提乙酰化不全。",0,模型正确选择了选项0，该选项准确描述了与RNA聚合酶II转录活性正相关的组蛋白H3尾部甲基化标记，如H3K4me2/3和H3K36me2/3，与正确选项一致。,True,"**0**

Yes, tri-methylation (H3K4me3) and di-methylation (H3K4me2) of H3K4 mark active promoters, while H3K36me (typically me2/me3) marks actively transcribed gene bodies, both positively correlating with RNA polymerase II activity. H3K27me3 (option 1) is repressive, and acetylation (option 2) is positive but not exclusive.",0,模型输出的选项与正确选项一致，均为0，因此评估为正确。,True,success,,84.02
