dataset,index,species,area,question,correct_answer,option_0,option_1,option_2,DeepSeek-V3.2_Agent_Choice,DeepSeek-V3.2_Agent_Objective,DeepSeek-V3.2_LLM_Choice,DeepSeek-V3.2_LLM_Objective,Grok-4.1-Fast_Agent_Choice,Grok-4.1-Fast_Agent_Objective,Grok-4.1-Fast_LLM_Choice,Grok-4.1-Fast_LLM_Objective,Doubao-1.8_Agent_Choice,Doubao-1.8_Agent_Objective,Doubao-1.8_LLM_Choice,Doubao-1.8_LLM_Objective,MiMo-V2-Flash_Agent_Choice,MiMo-V2-Flash_Agent_Objective,MiMo-V2-Flash_LLM_Choice,MiMo-V2-Flash_LLM_Objective,Qwen3-235B_Agent_Choice,Qwen3-235B_Agent_Objective,Qwen3-235B_LLM_Choice,Qwen3-235B_LLM_Objective,Gemini-3-Flash-High_Agent_Choice,Gemini-3-Flash-High_Agent_Objective,Gemini-3-Flash-High_LLM_Choice,Gemini-3-Flash-High_LLM_Objective
target,0,Arabidopsis thaliana,GENE REGULATION - TRANSCRIPTION,How many subunits make up the RNA polymerase I complex in Arabidopsis thaliana?,2,"In Arabidopsis, RNA Pol I consists of 12 protein subunits common to RNA Pol II and Pol III the two others being RNA Pol I-specific subunits.","In Arabidopsis, RNA Pol I consists of 14 protein subunits: 12 are RNA Pol I-specific protein subunits and two others are common to RNA Pol II and Pol III.","In Arabidopsis, RNA Pol I consists of 12 subunits common to those of all nuclear RNA polymerases (RNA Pol I–Pol V). 5 are common to RNA Pol II and Pol III and the others are RNA Pol I-specific subunits.",0,False,1,False,0,False,0,False,0,False,0,False,0,False,0,False,2,True,0,False,2,True,2,True
target,1,Arabidopsis thaliana,GENE REGULATION - TRANSCRIPTION,Which genes are transcribed by RNA polymerase I in Arabidopsis plants?,2,"The RNA Pol I transcribes a single 45S rDNA copy gene encoding the rRNA 18S, 5.8S and 25S.","The RNA Pol I transcribes the rRNA 18S, 5.8S, 5S and 25S ","The RNA Pol I transcribes the tandemly organised 45S rDNA encoding the rRNA 18S, 5.8S and 25S. ",2,True,2,True,2,True,2,True,2,True,2,True,2,True,2,True,2,True,2,True,2,True,2,True
target,2,Arabidopsis thaliana,PLANT BIOTECHNOLOGY,How is it possible to fine-tune control target RNAi efficacy in Arabidopsis thaliana using syn-tasiRNAs?,0,"It is possible to fine-tune target gene expression with syn-tasiRNAs in Arabidopsis thaliana through two strategies: i) by modulating the level of accumulation of a syn-tasiRNA if changing its precursor position, and ii) by modifying the degree of base-pairing between the 3' end of the syn-tasiRNA and the 5' end of the target RNA.","It is possible to fine-tune target gene expression with syn-tasiRNAs in Arabidopsis thaliana through two strategies: i) by modulating the level of accumulation of a syn-tasiRNA if changing its precursor position, and ii) by modifying the degree of base-pairing between the 5' end of the syn-tasiRNA and the 3' end of the target RNA.","It is possible to fine-tune target gene expression with syn-tasiRNAs in Arabidopsis thaliana through two strategies: i) by modulating the level of accumulation of a syn-tasiRNA if maintaining its precursor position, and ii) by maintaining the degree of base-pairing between the 3' end of the syn-tasiRNA and the 5' end of the target RNA.",0,True,1,False,0,True,0,True,0,True,0,True,0,True,0,True,0,True,1,False,0,True,0,True
target,3,Arabidopsis thaliana,GENE REGULATION - TRANSCRIPTION,"When transcription starts in gene promoters, are only possible outcomes the production of mRNA isoforms?",2,"No, rna polymerase ii can continue transcription of a different chromosome due to the 3-dimensional genome architecture of plants. ","Yes, once rna polymerase ii initiates transcription from a plant gene promoter the only outcome is the production of mRNA isoforms. ","No, initiation of rna polymerase ii transcription from gene promoters often results in the production of short promoter-proximal RNAs. ",2,True,2,True,2,True,2,True,2,True,2,True,2,True,2,True,2,True,2,True,2,True,2,True
target,4,Arabidopsis thaliana,ENVIRONMENT - LIGHT AND TEMPERATURE,How does the UV-B photoreceptor UVR8 regulate gene expression changes in Arabidopsis thaliana plants?,2,"After UV-B absorption, the homodimeric UVR8 induces its monomerization, and monomeric UVR8 interacts with the E3 ubiquitin ligases RUP1 and RUP2, leading to gene expression changes. UVR8 is then inactivated through redimerization, facilitated by COP1.","After UV-B absorption, the monomeric UVR8 induces its dimerization, and UVR8 dimers interact with the E3 ubiquitin ligase COP1, leading to gene expression changes. UVR8 is then inactivated through remonomerization, facilitated by RUP1 and RUP2.","After UV-B absorption, the homodimeric UVR8 induces its monomerization, and monomeric UVR8 interacts with the E3 ubiquitin ligase COP1, leading to gene expression changes. UVR8 is then inactivated through redimerization, facilitated by RUP1 and RUP2.",2,True,2,True,2,True,2,True,2,True,2,True,2,True,0,False,2,True,2,True,2,True,2,True
target,5,Arabidopsis thaliana,ENVIRONMENT - LIGHT AND TEMPERATURE,Which are the similitudes and differences between palisade and other photosynthetic cells from Arabidopsis leaves exposed to UV radiation?,0,"Palisade cells have a unique morphology, but are transcriptionally similar to other photosynthetic cell types. However, some genes in the phenylpropanoid biosynthesis pathway, which are required for production of the ultraviolet protectant sinapoylmalate, have palisade-enriched expression. ","Palisade cells have a similar morphology, but are transcriptionally different to other photosynthetic cell types. Moreover, some genes in the phenylpropanoid biosynthesis pathway, which are required for production of the ultraviolet protectant sinapoylmalate, have palisade-enriched expression. ","Palisade cells have a unique morphology, and are transcriptionally different to other photosynthetic cell types. Moreover, some genes in the phenylpropanoid biosynthesis pathway, which are required for production of the ultraviolet protectant sinapoylmalate, have palisade-enriched expression. ",0,True,0,True,0,True,0,True,0,True,0,True,0,True,2,False,2,False,2,False,0,True,0,True
target,6,Arabidopsis thaliana,ENVIRONMENT - LIGHT AND TEMPERATURE,Which proteins physically interact in the regulation of UV-B tolerance depending on the jasmonic acid signaling pathway in A. thaliana?,1,"UV RESISTANCE LOCUS 8 (UVR8), TEOSINTE BRANCHED1, Cycloidea and PCF 4 (TCP4) and LIPOXYGENASE2 (LOX2) physically interacts in the nuclei to increase the DNA binding activity of TCP4 and upregulate the JA biosynthesis.","UV RESISTANCE LOCUS 8 (UVR8) and TEOSINTE BRANCHED1, Cycloidea and PCF 4 (TCP4) physically interacts in the nuclei to increase the DNA binding activity of TCP4 and upregulate the JA biosynthesis gene LOX2.","UV RESISTANCE LOCUS 8 (UVR8), TEOSINTE BRANCHED1, Cycloidea and PCF 4 (TCP4) and LIPOXYGENASE2 (LOX2) physically interacts in the nuclei to increase the DNA binding activity of TCP4 and downregulate the JA biosynthesis.",1,True,1,True,1,True,1,True,1,True,1,True,1,True,0,False,1,True,1,True,1,True,1,True
target,7,Arabidopsis thaliana,ENVIRONMENT - LIGHT AND TEMPERATURE,"Which plant photoreceptors participate in the induction of FERULIC ACID 5-HYDROXYLASE 1 (FAH1), leading to the accumulation of UV-absorbing sinapate esters in Arabidopsis?",2,"Both UV RESISTANCE LOCUS 8 (UVR8) UV-B and phytochrome red, but not cryptochrome blue-light photoreceptors, converge on the induction of FERULIC ACID 5-HYDROXYLASE 1 (FAH1), which encodes a key enzyme in the phenylpropanoid biosynthesis pathway. This induction leads to the accumulation of UV-absorbing sinapate esters in Arabidopsis.","Both UV RESISTANCE LOCUS 8 (UVR8) UV-B and cryptochrome blue, but not phytochrome red light photoreceptors, converge on the induction of FERULIC ACID 5-HYDROXYLASE 1 (FAH1), which encodes a key enzyme in the phenylpropanoid biosynthesis pathway. This induction leads to the accumulation of UV-absorbing sinapate esters in Arabidopsis.","UV RESISTANCE LOCUS 8 (UVR8) UV-B, phytochrome red, and cryptochrome blue-light photoreceptors converge on the induction of FERULIC ACID 5-HYDROXYLASE 1 (FAH1), which encodes a key enzyme in the phenylpropanoid biosynthesis pathway. This induction leads to the accumulation of UV-absorbing sinapate esters in Arabidopsis.",2,True,0,False,2,True,0,False,2,True,2,True,2,True,0,False,2,True,1,False,2,True,1,False
target,8,Arabidopsis thaliana,ENVIRONMENT - LIGHT AND TEMPERATURE,What is the role of the Jumonji27 (JMJ27) protein during the UV-induced DNA damage in Arabidopsis thaliana plants?,0,"JMJ27 is responsible for the UV-induced reduction of H3K9me2 content at chromocenters. In addition, JMJ27 forms a complex with the photodamage recognition factor, DNA Damage Binding protein 2 (DDB2). The fine tuning of H3K9me2 contents orchestrates DDB2 dynamics on chromatin in response to UV-C exposure.","JMJ27 is responsible for the UV-induced increase in H3K9me2 content at chromocenters. In addition, JMJ27 forms a complex with the photodamage recognition factor, DNA Damage Binding protein 1 (DDB1). The fine tuning of H3K9me2 contents orchestrates DDB1 dynamics on chromatin in response to UV-C exposure.","JMJ27 is responsible for the UV-induced reduction in H3K9me2 content at chromocenters. In addition, JMJ27 forms a complex with the photodamage recognition factor, DNA Damage Binding protein 1 (DDB1). The fine tuning of H3K9me2 contents orchestrates DDB1 dynamics on chromatin in response to UV-C exposure.",0,True,0,True,0,True,0,True,0,True,0,True,0,True,0,True,0,True,0,True,0,True,0,True
target,9,Arabidopsis thaliana,GENE REGULATION - PTGS,How can the insertion of transposon-derived inverted repeats (IRs) impact transcription in Arabidopsis thaliana?,0,"The presence of transposon-derived inverted repeats (IRs), particularly near coding genes can cause chromatin rearrangements. These rearrangements often lead to the formation of short-range chromatin loops, which are associated with either the activation or repression of transcription in neighboring genes.","The presence of transposon-derived inverted repeats (IRs), particularly in non-coding regions can cause chromatin rearrangements. These rearrangements often lead to the formation of long-range chromatin loops, which are associated with either the activation or repression of transcription in neighboring genes.","The presence of transposon-derived inverted repeats (IRs), anywhere in the genome can cause chromatin rearrangements. These rearrangements often lead to the formation of short-range chromatin loops, which are associated with the activation of transcription in neighboring genes.",0,True,0,True,0,True,0,True,0,True,0,True,0,True,1,False,1,False,0,True,0,True,0,True
target,10,Arabidopsis thaliana,GENE REGULATION - PTGS,How do transposon-derived inverted repeats (IRs) impact the adaptation of Arabidopsis thaliana?,0,"The natural variation in the presence of transposon-derived inverted repeats (IRs) among Arabidopsis thaliana accessions and their correlation with variations in gene expression can explain the differential phenotypes observed among these accessions. Therefore, IRs represent powerful elements in adaptive evolution.","The lack of variation in the presence of transposon-derived inverted repeats (IRs) among Arabidopsis thaliana accessions and their correlation with similar gene expression can explain the lack of differential phenotypes observed among these accessions. Therefore, IRs represent powerful elements in adaptive evolution.","The natural variation in the presence of transposon-derived inverted repeats (IRs) among Arabidopsis thaliana accessions and their lack of correlation with variations in gene expression cannot explain the differential phenotypes observed among these accessions. Therefore, IRs do not represent significant elements in adaptive evolution.",0,True,0,True,0,True,0,True,0,True,0,True,0,True,0,True,0,True,0,True,0,True,0,True
